ep_num,ep_title,ep_air_date,ep_guest1,ep_guest2,ep_joke,ep_joke_topic,ep_smi,ep_smi_topic,ep_round_t,ep_round_h,ep_url
80,Episode 80: A Beautiful Way To Resist,2/1/17,n/a,n/a,n/a,n/a,n/a,n/a,Taking her shoes off,Bruno Mars' Finesse,https://megaphone.link/BUZ8347487376
81,Episode 81: Y'all's Parents Was Nasty (with Kelly Rowland),2/15/17,Kelly Rowland,n/a,n/a,n/a,n/a,n/a,Straight Fuckin by The Transitions,"Me, Myself and I by Beyonce",https://megaphone.link/BUZ9133256090
82,Episode 82: Another Round's Blacker History Month LIVE,2/22/17,Blacker History Month,n/a,n/a,n/a,n/a,n/a,Black Girl Magic/Cashawn Thompson,weed,https://megaphone.link/BUZ2547775727
83,Episode 83: Incognegro (with Jordan Peele),3/1/17,Jordan Peele,n/a,n/a,n/a,n/a,n/a,ANTI by Rihanna,The Life Changing Magic of Tidying Up (your white people),https://megaphone.link/BUZ1178518069
84,Episode 84: shETHER (with Remy Ma),3/8/17,Remy Ma,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://megaphone.link/BUZ1392277579
85,Episode 85: The Same Stuff as Stars (with Amanda Nguyen),3/15/17,Amanda Nguyen,n/a,n/a,n/a,n/a,n/a,Jamie Foxx Show,Bars that let you get pizza delivered,https://megaphone.link/BUZ4901085402
shot_9,Shot #9: Members Only,3/22/17,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://megaphone.link/BUZ7718538566
86,Episode 86: The Spicy Double Down (with Lizzo),4/5/17,Lizzo,n/a,joke,"...hmm. I forget, but it was a good one",n/a,n/a,match books,Tickled documentary,https://megaphone.link/BUZ6940029491
87,Episode 87: The Original Bad and Boujee (with Karyn Parsons),4/12/17,Karyn Parsons,n/a,n/a,n/a,n/a,n/a,Albert Samaha and things he likes/loves,Tracy's Snapchat,https://megaphone.link/BUZ7129694015
88,Episode 88: I Got Indian In My Family,4/19/17,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://megaphone.link/BUZ1543881636
89,Episode 89: Sister Girl Bonds (with Dr. Kimberle Crenshaw),4/26/17,Kimberle Crenshaw,n/a,n/a,n/a,n/a,n/a,Tonight by XSCAPE,Twinsters documentary,https://megaphone.link/BUZ6016746492
