ep_num,ep_title,ep_air_date,ep_url,ep_guest1,ep_guest2,ep_seg1,ep_seg2,ep_seg3,ep_seg4,ep_seg5,ep_round_t,ep_round_h
1,Episode 1: Unlearning (with Durga Chew-Bose),3/24/2015,https://megaphone.link/BUZ1410984301,Durga Chew-Bose,,what had happened was,joke time,,,,Rae Sremmurd,Harriet Tubman
2,Episode 2: You Know White People (with Jazmine Hughes),3/26/2015,https://megaphone.link/BUZ4188033034,Jazmine Hughes,,drunken debates,,,,,Stephen Colbert,Constance Wu
